Inputs,Text Chat Codes
A Button,<TX0C000000000044AF>
B Button,<TX0C000000000044B1>
Down Arrow,<TX0C000000000044B3>
LB,<TXC000000000044A9>
LB + RB,<TXC000000000044AE>
LT,<TXC000000000044AC>
Left Arrow,<TX0C000000000044B4>
Left Mouse,<TXC0000000000447f>
Left Stick,<TXC000000000090D7>
Left Stick Press,<TXC000000000044A8>
Mouse Side Button,<TX0C00000000005DAB>	
Mouse Wheel Down,<TXC00000000005DA1>
Mouse Wheel Up,<TXC00000000005DA0>
Right Arrow,<TX0C000000000044A5>
RB,<TXC000000000044AA>
RT,<TXC000000000044AD>
Right Mouse,<TXC00000000004480>
Right Stick,<TXC000000000090D6>
Right Stick Press,<TXC000000000044A7>
Scroll,<TX0C00000000005DAD>
Scroll Down,<TX0C00000000005DA1>
Scroll Up,<TX0C00000000005DA0>
Up Arrow,<TX0C000000000044A6>   
XBox A,<TXC000000000044AF>
XBox B,<TXC000000000044B1>
XBox Small Button 1,<TXC000000000044AB>
XBox Small Button 2,<TXC000000000065FD>
XBox X,<TXC000000000044B0>
Xbox Y,<TXC000000000044B2>Left Mouse Button,<TXC00000000447F>
Right Mouse Button,<TXC000000004480>
Right Arrow Key,<TXC0000000044A5>
Up Arrow Key,<TXC0000000044A6>
Right Stick Press Button,<TXC0000000044A7>
Left Stick Press Button,<TXC0000000044A8>
LB Button,<TXC0000000044A9>
RB Button,<TXC0000000044AA>
Xbox Menu Button,<TXC0000000044AB>
LT Trigger,<TXC0000000044AC>
RT Trigger,<TXC0000000044AD>
LB + RB Combo,<TXC0000000044AE>
Xbox A Button,<TXC0000000044AF>
Xbox X Button,<TXC0000000044B0>
Xbox B Button,<TXC0000000044B1>
Xbox Y Button,<TXC0000000044B2>
Down Arrow Key,<TXC0000000044B3>
Left Arrow Key,<TXC0000000044B4>
